Date,0_EU,1_EU,2_EU,3_EU,4_EU,5_EU,6_EU,7_EU,8_EU,9_EU,10_EU,11_EU,12_EU,13_EU,14_EU,15_EU,16_EU,17_EU,18_EU,19_EU,20_EU,21_EU,22_EU,23_EU,0_ED,1_ED,2_ED,3_ED,4_ED,5_ED,6_ED,7_ED,8_ED,9_ED,10_ED,11_ED,12_ED,13_ED,14_ED,15_ED,16_ED,17_ED,18_ED,19_ED,20_ED,21_ED,22_ED,23_ED,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0_LU,1_LU,2_LU,3_LU,4_LU,5_LU,6_LU,7_LU,8_LU,9_LU,10_LU,11_LU,12_LU,13_LU,14_LU,15_LU,16_LU,17_LU,18_LU,19_LU,20_LU,21_LU,22_LU,23_LU,0_LD,1_LD,2_LD,3_LD,4_LD,5_LD,6_LD,7_LD,8_LD,9_LD,10_LD,11_LD,12_LD,13_LD,14_LD,15_LD,16_LD,17_LD,18_LD,19_LD,20_LD,21_LD,22_LD,23_LD
2022-01-01,49.18715,49.33709,49.71026,49.4594,49.52272,54.84933,55.45747,55.38097,55.96408,55.65854,55.36818,55.42343,55.25445,55.19267,55.19909,55.91946,56.15697,55.9905,56.60685,56.49552,56.48633,55.91448,50.44731,50.55962,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,33.89313,46.599998,41.330002,42.18,44.369999,37.669998,39.700001,40.59,43.259998,49.66,70.050003,76.790001,84.099998,94.739998,96.800003,97.169998,101.269997,126.599998,149.970001,146.330002,140.279999,121.879997,102.610001,95.120003,83.110001,1.95478,1.95492,1.96262,1.96222,1.95644,1.96611,1.96604,1.96069,1.9544,1.95481,1.95481,1.95399,1.95401,1.95407,1.95414,52.4626,58.25533,64.36613,61.65045,59.68651,50.53648,45.18167,1.95579,1.96351,42.42105,42.42105,43.36842,42.42105,41.78947,41.78947,41.78947,41.78947,41.78947,41.78947,41.78947,41.78947,41.78947,41.78947,41.78947,41.78947,41.78947,41.78947,41.78947,41.78947,41.78947,41.78947,41.78947,41.78947
2022-01-02,49.82296,50.00125,50.0365,50.24763,50.22116,50.64763,51.57803,50.1319,55.81501,55.98564,55.89209,55.92268,56.90745,56.78389,56.82226,57.08729,57.11244,56.79389,56.65292,57.20089,57.9768,57.58873,52.69442,52.6539,40.0,40.0,40.0,40.16103,40.16103,40.16103,40.16103,40.16103,40.16103,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,34.73,34.389999,34.360001,34.099998,29.559999,33.970001,34.52,41.799999,48.950001,60.009998,70.089996,66.260002,64.540001,46.959999,49.060001,74.989998,88.150002,95.400002,86.709999,71.269997,54.119999,46.16,46.290001,32.93,1.96162,1.9525,1.96179,1.96179,1.95411,1.9538,1.95503,1.96317,1.95552,1.95585,1.95648,1.95868,1.95859,1.9556,1.95898,44.68591,58.02697,59.4735,58.85652,55.35286,25.71458,1.95712,1.9579,0.0,33.5,33.5,33.5,34.23077,34.23077,34.23077,33.46154,36.53846,36.53846,32.5,32.5,32.5,32.5,32.5,32.5,33.0,33.0,33.0,33.5,33.5,33.5,33.5,33.5,33.5
2022-01-03,49.90748,50.43817,50.45958,49.79333,50.05283,49.99252,51.44429,51.34926,57.08755,57.20907,57.0504,56.83516,57.54465,57.63378,57.46946,57.37385,57.49053,57.63417,57.56193,57.68503,57.91478,57.91142,53.14685,53.47944,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,38.89256,13.2,19.92,19.870001,13.24,13.29,9.24,37.549999,88.760002,122.93,110.169998,93.379997,90.730003,82.370003,80.900002,80.989998,98.050003,120.550003,139.570007,134.690002,114.82,92.910004,72.389999,39.450001,34.400002,1.95675,1.9525,1.95523,1.95523,1.95217,1.95252,1.95814,1.95506,1.96436,1.96215,1.96068,1.9584,1.95868,1.95868,1.95859,0.0,0.0,0.0,0.0,0.0,0.0,1.96039,1.96113,0.99275,48.33333,48.33333,48.33333,48.33333,48.33333,48.33333,37.66667,37.66667,37.66667,37.66667,37.66667,37.66667,37.66667,37.66667,37.66667,38.0,38.0,38.0,38.46667,38.46667,38.46667,38.46667,38.46667,38.46667
2022-01-04,51.93968,51.8039,52.02806,51.99764,51.61278,52.15637,53.04842,52.96492,53.11748,52.84732,52.71354,52.70372,52.56598,52.99851,53.10057,52.74089,53.22176,52.8597,52.86189,52.85451,54.15091,54.94598,54.4702,54.66219,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,37.67742,39.990002,37.139999,36.66,38.639999,41.02,93.970001,130.169998,182.639999,174.610001,185.440002,185.320007,178.039993,178.080002,175.279999,174.699997,180.929993,166.690002,185.320007,180.5,153.880005,146.809998,128.75,112.959999,84.110001,1.95731,1.95231,1.95581,1.95585,1.95211,1.95222,1.95963,1.96463,1.96612,1.96612,1.96646,1.96646,1.9658,1.96519,1.96549,0.0,0.0,9.91545,10.0,8.54,2.89067,1.96197,1.96145,1.95101,58.33333,58.33333,58.33333,58.33333,58.33333,58.33333,58.33333,58.33333,58.33333,58.33333,58.33333,58.33333,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
2022-01-05,48.81261,48.65535,48.68915,48.72344,48.47399,48.49534,49.89594,49.46554,50.04129,49.74491,49.69267,49.4745,49.70887,49.82043,50.10971,49.85672,50.21976,50.21932,50.19199,50.20568,51.03248,50.90707,50.51921,50.28836,34.24121,34.24121,34.24121,34.24121,34.24121,34.24121,34.24121,34.24121,34.24121,34.24121,34.24121,34.24121,34.24121,34.24121,34.24121,34.24121,34.24121,34.48347,34.55652,35.46007,35.46007,35.46007,35.46007,35.46007,93.870003,51.689999,50.040001,49.529999,50.07,93.389999,99.160004,101.150002,129.559998,121.089996,135.050003,129.990005,131.970001,130.669998,121.389999,122.419998,137.279999,148.089996,139.880005,135.75,119.93,98.089996,118.709999,97.290001,1.96,1.95448,1.96274,1.96274,1.95484,1.95422,1.95814,1.9576,1.95738,1.95745,1.95752,1.95752,1.95752,1.9576,1.95675,28.59747,53.43535,67.59772,54.64838,51.26209,49.8975,1.95556,1.9556,1.95857,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,33.25,25.95833,24.72222,24.72222,24.72222,24.72222,24.72222,24.72222
2022-01-06,45.2864,45.56684,45.763,45.94947,45.58868,45.73277,46.38095,46.10689,46.17169,46.03831,45.91026,46.00277,45.84005,45.90836,45.92343,45.72247,45.86771,46.0997,46.70712,46.74429,47.01314,46.84297,46.51642,46.37156,31.45929,31.45929,31.45929,31.45929,31.45929,31.45929,31.45929,31.45929,30.98784,30.98784,30.98784,30.98784,30.98784,30.98784,30.98784,30.98784,30.98784,30.98784,30.98784,30.98784,30.98784,30.98784,30.98784,30.98784,93.290001,80.769997,78.080002,81.970001,89.309998,89.75,97.059998,193.789993,228.919998,212.899994,215.5,231.899994,226.0,209.199997,216.059998,230.770004,245.949997,274.109985,273.440002,240.020004,217.910004,203.309998,171.309998,124.699997,1.94867,1.9433,1.94821,1.94796,1.94319,1.943,1.94857,1.95393,1.95902,1.96108,1.96108,1.96108,1.96364,7.36595,6.36683,60.1,66.8054,70.02226,47.08011,57.3125,0.0,2.91,2.62,1.94492,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
2022-01-07,42.62515,42.60452,42.63796,42.82157,42.96865,42.63187,43.70584,43.53661,43.54028,43.20414,43.18754,43.35671,44.15356,43.77011,43.83102,44.36455,44.18726,44.0047,44.3987,44.44139,44.30447,44.23408,44.14367,43.87134,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,28.89844,128.919998,116.650002,100.540001,99.470001,101.739998,114.989998,140.190002,152.639999,160.970001,161.850006,161.369995,166.059998,166.539993,165.970001,165.360001,185.149994,201.559998,243.110001,247.720001,187.5,160.5,157.949997,153.899994,144.759995,4.21737,5.0,5.0,5.0,6.56522,0.0,0.0,2.07667,0.0,6.94583,2.4,9.0,0.0,0.0,0.0,20.0363,34.45516,64.05554,79.7355,75.57952,8.15361,1.97171,1.97111,1.9635,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545,28.54545
2022-01-08,41.80159,41.85591,41.85808,41.81089,41.65722,41.78742,42.01279,41.98698,42.00262,41.97113,41.95949,41.97616,41.89355,42.02018,42.02019,41.89044,42.05802,42.08874,42.1767,41.94763,41.91133,41.92552,41.86561,42.00646,25.64892,25.64892,25.64892,25.64892,25.64892,25.64892,25.64892,25.64892,25.64892,25.64892,25.64892,25.64892,25.64892,25.64892,25.64892,25.64892,25.64892,25.64892,25.64892,25.64892,25.64892,25.64892,27.14642,27.14642,153.029999,146.080002,144.639999,145.740005,146.970001,146.880005,146.559998,147.179993,153.660004,156.070007,159.080002,158.5,158.789993,156.070007,156.179993,158.889999,161.0,189.899994,170.710007,140.080002,105.07,104.849998,104.800003,90.050003,1.95952,1.95375,1.95988,1.96013,1.954,1.9539,1.95878,1.95878,2.92392,0.0,1.95806,1.95745,1.95767,0.0,0.0,15.75162,30.05898,31.21239,32.72471,9.33683,27.57712,1.9584,1.95859,1.9537,54.125,54.125,54.125,54.125,54.125,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,54.125,54.125,54.125
2022-01-09,39.8957,39.97458,40.07813,40.06408,40.03994,40.5165,40.52764,40.07115,40.50861,40.7342,40.56174,40.5733,41.24315,41.3466,41.55405,41.62912,41.68898,41.40304,41.76252,42.01712,42.06104,41.98564,41.39277,41.42515,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,24.18167,85.029999,84.400002,80.239998,55.459999,49.290001,50.639999,74.290001,84.440002,97.260002,119.970001,134.960007,145.820007,157.139999,154.660004,154.880005,158.369995,186.369995,223.300003,243.190002,209.649994,155.070007,159.380005,148.229996,144.789993,1.95116,1.94354,1.94987,1.95013,1.94359,1.94359,1.95027,1.95027,1.9504,2.90213,1.95013,1.95027,1.94939,2.90262,2.90262,52.8984,52.8984,55.79566,48.66277,55.79123,6.97,1.95069,1.95013,1.94378,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
2022-01-10,40.40094,40.11663,40.12507,40.40684,40.39525,40.41965,40.67502,40.50689,40.42068,40.39287,40.43305,40.46192,40.11954,40.18646,40.21538,40.87118,40.74878,40.75053,40.27396,40.41895,40.39043,40.22272,39.91221,39.88975,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,23.07692,144.279999,138.089996,133.809998,136.440002,142.990005,152.089996,231.740005,299.950012,313.920013,315.0,310.410004,310.079987,300.0,297.01001,299.959991,306.450012,302.730011,315.470001,310.820007,294.980011,261.029999,242.229996,211.830002,150.089996,1.95756,1.95,1.96633,1.97038,1.95154,1.95154,1.97292,1.9716,1.9716,1.96926,1.97038,1.96926,1.97591,1.97435,1.95463,21.68242,24.72894,35.6402,34.18555,30.30752,24.10396,7.90488,1.94627,1.9424,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
