,1-1-1 0,1-2-4 0,1-2-4 1,1-2-4 2,1-5-25 0,1-5-25 1,1-5-25 2,1-10-100 0,1-10-100 1,1-10-100 2,1-15-225 0,1-15-225 1,1-15-225 2,1-20-400 0,1-20-400 1,1-20-400 2,1-25-625 0,1-25-625 1,1-25-625 2,1-27-730 0,1-27-730 1,1-27-730 2,1-27-730 160,1-27-730 1364,1-27-730 2972
EU,11145.69,1197.8,1197.8,7158.99,10552.84,12349.72,0.0,301.26,17381.98,17664.54,11900.86,0.0,0.0,0.0,11306.16,0.0,12294.92,11317.84,17892.73,3512.89,20662.23,1043.74,2749.41,2749.41,2749.41
ED,280.28,0.0,0.0,0.0,22302.78,22084.66,11311.94,37610.91,0.0,0.0,23534.28,4732.62,0.0,7385.14,18595.41,0.0,22084.66,18595.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spot,3010.45,1605.71,1605.71,584.47,433.84,568.64,2376.75,2080.71,648.07,620.44,770.8,3145.05,2840.83,3237.28,765.69,3208.61,661.88,827.34,684.65,2203.22,808.92,3107.22,2772.23,2772.23,2772.23
LU,1060.72,4515.42,4515.42,1568.59,0.0,0.0,7732.8,7693.02,0.0,0.0,57.71,7546.2,7804.61,7588.95,554.53,7599.89,41.83,516.74,0.0,5621.88,0.0,6999.66,5929.6,5929.6,5929.6
LD,3697.21,9058.63,9058.63,8730.98,0.0,0.0,2464.05,0.0,12324.47,12286.0,0.0,8542.57,12457.09,6255.54,0.0,12826.93,0.0,0.0,12937.93,12963.92,12963.92,12963.92,12963.92,12963.92,12963.92
Objective,19194.34,16377.56,16377.56,18043.03,33289.45,35003.01,23885.54,47685.91,30354.52,30570.98,36263.65,23966.43,23102.53,24466.91,31221.8,23635.43,35083.29,31257.33,31515.3,24301.91,34435.07,24114.55,24415.16,24415.16,24415.16
EEV,18890.87,14875.86,14875.86,18040.8,33289.45,35003.01,23769.31,47658.74,28740.14,30570.98,36260.23,23717.38,23102.53,23573.54,31211.84,23635.43,35081.48,31241.82,31515.3,24217.62,33075.82,23850.9,22230.03,22469.25,22469.25
WS,20077.62,17967.22,17967.22,18878.6,39016.67,38801.99,29985.28,52640.25,36017.89,33654.93,43413.69,28718.22,25733.22,31854.69,38895.63,25377.92,41895.31,38801.24,33768.17,27447.77,38146.3,27629.03,29629.21,29629.21,29629.21
Runtime,0.05,0.08,0.1,0.08,0.65,0.65,0.63,5.63,5.6,5.65,24.97,25.08,25.33,72.98,72.93,73.29,181.11,183.23,178.42,260.2,233.21,231.89,246.19,473.99,184.63
RuntimeClustering,0.11,0.22,0.21,0.26,2.75,2.75,2.83,24.05,24.52,25.73,60.55,61.31,59.33,54.65,51.45,49.32,7.21,7.22,7.13,3.12,3.09,3.14,3.44,3.21,109.25
RuntimeWS,,,,,,,,,,,,,,,,,,,,,,,,,9.73
EU_WS,,,,,,,,,,,,,,,,,,,,,,,,,5299.2
ED_WS,,,,,,,,,,,,,,,,,,,,,,,,,4131.93
Spot_WS,,,,,,,,,,,,,,,,,,,,,,,,,2439.88
LU_WS,,,,,,,,,,,,,,,,,,,,,,,,,6416.02
LD_WS,,,,,,,,,,,,,,,,,,,,,,,,,11342.18
EU_EEV,,,,,,,,,,,,,,,,,,,,,,,,,3144.3
ED_EEV,,,,,,,,,,,,,,,,,,,,,,,,,2768.15
Spot_EEV,,,,,,,,,,,,,,,,,,,,,,,,,2626.37
LU_EEV,,,,,,,,,,,,,,,,,,,,,,,,,5659.1
LD_EEV,,,,,,,,,,,,,,,,,,,,,,,,,8271.33
RuntimeEEV,,,,,,,,,,,,,,,,,,,,,,,,,403.72
